Transaction Date,Transaction Time,Product,Quantity,Total Price
2024-01-08,13:09:00,Caramel Macchiato,1,160
2024-01-08,18:19:00,Latte,2,290
2024-01-08,16:36:00,Biscoff Cream,2,340
2024-01-08,20:43:00,Mojos,1,105
2024-01-08,15:57:00,Sausage,4,420
2024-01-08,20:27:00,Caramel Macchiato,4,640
2024-01-08,07:53:00,Lasagna,4,680
2024-01-08,09:10:00,Matcha Frappuccino,4,640
2024-01-09,05:56:00,Sausage,3,315
2024-01-09,18:43:00,Biscoff Latte,2,320
2024-01-09,12:41:00,Choose Any Two,3,570
2024-01-09,12:48:00,Bap's Platter (for sharing),4,1160
2024-01-09,08:35:00,Caramel Macchiato,4,640
2024-01-09,05:35:00,Biscoff (Coffee or None),3,510
2024-01-09,08:16:00,Cappuccino,4,580
2024-01-09,14:11:00,Bap's Platter (for sharing),4,1160
2024-01-09,11:29:00,White Hot Chocolate,3,450
2024-01-09,15:56:00,Nachos (for sharing),3,585
2024-01-10,19:51:00,White Hot Chocolate,2,300
2024-01-10,06:36:00,Mojos,4,420
2024-01-10,22:05:00,Choose Any Two,2,380
2024-01-10,12:06:00,Chicken or Beef Quesadilla Whole,1,200
2024-01-10,12:55:00,Lasagna,1,170
2024-01-10,16:09:00,Lasagna,2,340
2024-01-10,01:54:00,Chicken or Beef Quesadilla Half,1,110
2024-01-10,20:19:00,Hazelnut Mocha Macchiato,2,320
2024-01-10,06:52:00,Spanish Latte,4,640
2024-01-10,21:40:00,Peach Mango Frappe,1,160
2024-01-10,07:36:00,Biscoff Latte,4,640
2024-01-10,18:42:00,Chicken or Beef Quesadilla Whole,4,800
2024-01-10,16:48:00,Matcha Frappe,3,480
2024-01-10,11:02:00,Bap's Platter (for sharing),2,580
2024-01-10,00:36:00,Bap's Platter (for sharing),4,1160
2024-01-10,04:38:00,Classic Chocolate,1,150
2024-01-10,14:32:00,Chicken or Beef Quesadilla Whole,2,400
2024-01-10,01:01:00,Strawberries & Cream,4,640
2024-01-10,22:45:00,Peach Mango Frappe,1,160
2024-01-10,02:56:00,Chocolate Frappe,4,640
2024-01-11,01:15:00,Chocolate Frappe,1,160
2024-01-11,11:57:00,Hazelnut Mocha Macchiato,3,480
2024-01-11,23:10:00,Chocolate Frappe,4,640
2024-01-11,18:42:00,Caramel Macchiato,4,640
2024-01-11,15:47:00,Peach Mango Frappe,3,480
2024-01-11,19:34:00,Matcha Frappuccino,4,640
2024-01-11,20:46:00,Matcha,2,300
2024-01-11,19:46:00,Caramel Macchiato,3,480
2024-01-11,03:54:00,Mojos,3,315
2024-01-11,12:30:00,Matcha Frappe,4,640
2024-01-11,18:17:00,Bap's Coffee Signature,2,320
2024-01-11,21:16:00,Strawberries & Cream,2,320
2024-01-11,19:57:00,Hazelnut Mocha Macchiato,1,160
2024-01-11,15:45:00,Bap's Coffee Signature,3,480
2024-01-11,00:28:00,Cappuccino,1,145
2024-01-11,23:08:00,Chocolate Frappe,1,160
2024-01-11,08:19:00,Coffee Jelly Frappuccino,1,170
2024-01-11,03:36:00,Hazelnut Mocha Macchiato,1,160
2024-01-11,18:13:00,Salted Caramel Latte,4,640
2024-01-11,07:24:00,Choose Any Two,4,760
2024-01-11,11:53:00,Creamy Chicken Pesto,2,340
2024-01-12,02:52:00,Latte,1,145
2024-01-12,18:01:00,Savory Bites,4,420
2024-01-12,07:35:00,Savory Bites,1,105
2024-01-12,06:26:00,Americano,1,110
2024-01-12,03:09:00,Savory Bites,1,105
2024-01-12,13:43:00,Peach Mango Frappe,1,160
2024-01-12,00:57:00,White Chocolate Mocha,4,640
2024-01-12,02:52:00,Bap's Platter (for sharing),1,290
2024-01-12,01:19:00,Matcha Frappuccino,2,320
2024-01-12,03:22:00,Matcha Frappuccino,4,640
2024-01-12,23:45:00,Chicken or Beef Quesadilla Whole,3,600
2024-01-12,19:26:00,Matcha,3,450
2024-01-12,23:16:00,Americano,2,220
2024-01-12,10:55:00,Latte,3,435
2024-01-12,17:15:00,Spanish Latte,2,320
2024-01-12,13:03:00,Bap's Platter (for sharing),4,1160
2024-01-12,23:51:00,White Hot Chocolate,4,600
2024-01-12,19:05:00,Mocha,4,640
2024-01-12,11:37:00,Lasagna,4,680
2024-01-12,12:11:00,Savory Bites,1,105
2024-01-12,08:21:00,Creamy Chicken Pesto,3,510
2024-01-12,20:24:00,Strawberries & Cream,1,160
2024-01-12,07:40:00,Cookies & Cream Frappe,4,680
2024-01-12,15:08:00,Mojos,2,210
2024-01-12,21:16:00,Chicken or Beef Quesadilla Whole,2,400
2024-01-12,14:42:00,Matcha Frappe,4,640
2024-01-12,07:29:00,Caramel Macchiato,2,320
2024-01-12,21:05:00,Sausage,3,315
2024-01-13,19:02:00,Caramel Macchiato,4,640
2024-01-13,06:13:00,Nachos (for sharing),1,195
2024-01-13,03:43:00,Matcha Frappe,3,480
2024-01-13,14:12:00,Spanish Latte,2,320
2024-01-13,13:46:00,Peach Mango Frappe,3,480
2024-01-13,01:44:00,Classic Chocolate,3,450
2024-01-13,06:44:00,Americano,4,440
2024-01-13,07:55:00,White Chocolate Mocha,1,160
2024-01-13,12:50:00,Caramel Macchiato,1,160
2024-01-13,16:36:00,White Chocolate Chip Frappe,1,170
2024-01-13,01:22:00,Biscoff Latte,1,160
2024-01-13,18:21:00,Matcha Frappuccino,1,160
2024-01-13,00:50:00,Americano,1,110
2024-01-13,07:28:00,Classic Chocolate,1,150
2024-01-13,00:33:00,Bap's Platter (for sharing),4,1160
2024-01-13,18:15:00,Choose Any Two,3,570
2024-01-13,04:09:00,Lasagna,2,340
2024-01-13,22:09:00,Latte,4,580
2024-01-13,17:57:00,Americano,4,440
2024-01-13,16:29:00,Caramel Macchiato,2,320
2024-01-13,10:23:00,Strawberries & Cream,3,480
2024-01-13,20:30:00,White Chocolate Chip Frappe,1,170
2024-01-14,01:14:00,Cappuccino,3,435
2024-01-14,13:25:00,Chicken or Beef Quesadilla Half,2,220
2024-01-14,13:17:00,Chicken or Beef Quesadilla Half,3,330
2024-01-14,07:14:00,Creamy Chicken Pesto,3,510
2024-01-14,22:11:00,Chicken or Beef Quesadilla Half,1,110
2024-01-14,16:23:00,Nachos (for sharing),3,585
2024-01-14,12:38:00,Sausage,2,210
2024-01-14,02:12:00,Strawberries & Cream,1,160
2024-01-14,02:17:00,Salted Caramel Latte,4,640
2024-01-14,22:33:00,Strawberries & Cream,1,160
2024-01-14,16:23:00,Cookies & Cream Frappe,1,170
2024-01-14,00:52:00,Chicken or Beef Quesadilla Half,2,220
2024-01-14,02:05:00,Classic Chocolate,3,450
2024-01-14,01:50:00,Spanish Latte,1,160
2024-01-14,20:06:00,White Chocolate Chip Frappe,4,680
2024-01-14,23:17:00,Choose Any Two,4,760
2024-01-14,14:59:00,Mocha,4,640
2024-01-14,04:40:00,Salted Caramel Latte,3,480
2024-01-14,20:18:00,Bap's Platter (for sharing),3,870
2024-01-14,11:11:00,Mojos,2,210
2024-01-14,17:08:00,Chocolate Frappe,2,320
2024-01-14,11:21:00,Savory Bites,1,105
2024-01-14,23:48:00,Coffee Jelly Frappuccino,2,340
2024-01-15,03:52:00,Caramel Macchiato,4,640
2024-01-15,17:49:00,Lasagna,2,340
2024-01-15,18:16:00,Matcha,2,300
2024-01-15,03:58:00,Coffee Jelly Frappuccino,4,680
2024-01-15,01:46:00,Sausage,3,315
2024-01-15,17:29:00,Strawberries & Cream,4,640
2024-01-15,00:07:00,Americano,1,110
2024-01-15,21:16:00,Chicken or Beef Quesadilla Whole,4,800
2024-01-15,05:02:00,Black Tea Strawberry Peach,3,420
2024-01-15,08:45:00,Coffee Jelly Frappuccino,2,340
2024-01-16,23:29:00,Biscoff (Coffee or None),1,170
2024-01-16,08:45:00,Lasagna,3,510
2024-01-16,17:06:00,Hazelnut Mocha Macchiato,3,480
2024-01-16,12:29:00,White Chocolate Chip Frappe,3,510
2024-01-16,13:25:00,Matcha Frappe,3,480
2024-01-16,20:15:00,Black Tea Strawberry Peach,1,140
2024-01-16,11:53:00,Savory Bites,3,315
2024-01-16,20:54:00,Strawberries & Cream,2,320
2024-01-16,02:05:00,Lasagna,4,680
2024-01-16,02:24:00,Peach Mango Frappe,1,160
2024-01-16,00:24:00,Cookies & Cream Frappe,4,680
2024-01-16,01:06:00,Biscoff Latte,1,160
2024-01-16,01:50:00,Matcha Frappe,4,640
2024-01-16,00:33:00,Coffee Jelly Frappuccino,3,510
2024-01-16,23:12:00,Mocha,4,640
2024-01-16,07:04:00,Chocolate Frappe,1,160
2024-01-16,11:31:00,White Chocolate Mocha,2,320
2024-01-16,05:14:00,Chicken or Beef Quesadilla Half,1,110
2024-01-16,23:20:00,White Chocolate Mocha,1,160
2024-01-16,04:36:00,Coffee Jelly Frappuccino,2,340
2024-01-16,10:23:00,White Chocolate Mocha,4,640
2024-01-16,14:02:00,Sausage,2,210
2024-01-16,13:42:00,Sausage,1,105
2024-01-17,17:43:00,Choose Any Two,1,190
2024-01-17,20:46:00,Biscoff (Coffee or None),2,340
2024-01-17,07:47:00,Cappuccino,4,580
2024-01-17,00:03:00,Spanish Latte,3,480
2024-01-17,01:57:00,White Chocolate Mocha,1,160
2024-01-17,08:23:00,Sausage,2,210
2024-01-17,14:06:00,Cappuccino,3,435
2024-01-17,17:29:00,Mocha,3,480
2024-01-17,05:25:00,Caramel Macchiato,2,320
2024-01-17,12:03:00,Salted Caramel Latte,1,160
2024-01-17,01:52:00,Cookies & Cream Frappe,4,680
2024-01-17,01:29:00,Americano,2,220
2024-01-18,14:04:00,Spanish Latte,3,480
2024-01-18,15:01:00,Latte,2,290
2024-01-18,04:20:00,Biscoff Latte,3,480
2024-01-18,02:51:00,Biscoff Latte,2,320
2024-01-18,19:51:00,Classic Chocolate,2,300
2024-01-18,05:20:00,Cookies & Cream Frappe,3,510
2024-01-18,13:04:00,Bap's Coffee Signature,1,160
2024-01-18,15:10:00,Spanish Latte,4,640
2024-01-18,18:38:00,Chicken or Beef Quesadilla Whole,1,200
2024-01-18,05:17:00,Caramel Macchiato,4,640
2024-01-18,06:15:00,Matcha,3,450
2024-01-18,09:47:00,Bap's Coffee Signature,3,480
2024-01-18,08:32:00,Chicken or Beef Quesadilla Whole,4,800
2024-01-18,22:52:00,Coffee Jelly Frappuccino,4,680
2024-01-18,14:32:00,Spanish Latte,1,160
2024-01-19,21:54:00,Sausage,1,105
2024-01-19,14:10:00,Caramel Macchiato,3,480
2024-01-19,23:53:00,Matcha,2,300
2024-01-19,10:00:00,Salted Caramel Latte,1,160
2024-01-19,06:41:00,Peach Mango Frappe,4,640
2024-01-19,21:58:00,Mocha,4,640
2024-01-19,13:19:00,Matcha,3,450
2024-01-19,17:26:00,Nachos (for sharing),3,585
2024-01-19,16:32:00,Black Tea Strawberry Peach,1,140
2024-01-19,20:48:00,Strawberries & Cream,3,480
2024-01-19,13:40:00,Cappuccino,4,580
2024-01-19,09:38:00,White Chocolate Mocha,3,480
2024-01-19,09:13:00,Mocha,4,640
2024-01-19,21:52:00,Black Tea Strawberry Peach,4,560
2024-01-19,20:54:00,Sausage,3,315
2024-01-19,09:09:00,Mojos,1,105
2024-01-19,17:00:00,Nachos (for sharing),1,195
2024-01-19,15:50:00,Creamy Chicken Pesto,1,170
2024-01-19,09:57:00,Salted Caramel Latte,2,320
2024-01-19,08:36:00,Biscoff Latte,3,480
2024-01-19,14:24:00,Biscoff Latte,2,320
2024-01-19,19:42:00,Classic Chocolate,3,450
2024-01-19,15:47:00,Biscoff (Coffee or None),4,680
2024-01-20,21:24:00,Mojos,1,105
2024-01-20,14:03:00,Salted Caramel Latte,1,160
2024-01-20,23:54:00,Cappuccino,3,435
2024-01-20,21:46:00,Lasagna,1,170
2024-01-20,00:10:00,Cookies & Cream Frappe,2,340
2024-01-20,14:31:00,Biscoff Latte,2,320
2024-01-20,11:51:00,White Chocolate Mocha,3,480
2024-01-20,05:01:00,Lasagna,3,510
2024-01-20,03:37:00,White Hot Chocolate,1,150
2024-01-20,16:24:00,Matcha Frappe,1,160
2024-01-20,16:43:00,White Hot Chocolate,4,600
2024-01-20,19:16:00,Salted Caramel Latte,4,640
2024-01-20,02:06:00,Mocha,2,320
2024-01-20,23:21:00,Savory Bites,1,105
2024-01-20,21:59:00,Mojos,1,105
2024-01-20,12:58:00,Coffee Jelly Frappuccino,3,510
2024-01-20,13:33:00,Americano,1,110
2024-01-20,22:49:00,Matcha Frappuccino,2,320
2024-01-20,13:44:00,White Chocolate Chip Frappe,1,170
2024-01-20,11:00:00,Black Tea Strawberry Peach,3,420
2024-01-20,22:12:00,Bap's Coffee Signature,1,160
2024-01-20,05:12:00,Biscoff Latte,1,160
2024-01-20,15:36:00,Lasagna,3,510
2024-01-20,01:14:00,Peach Mango Frappe,2,320
2024-01-21,20:33:00,Hazelnut Mocha Macchiato,3,480
2024-01-21,05:46:00,Chicken or Beef Quesadilla Half,1,110
2024-01-21,00:24:00,Biscoff (Coffee or None),3,510
2024-01-21,19:44:00,White Chocolate Mocha,1,160
2024-01-21,01:02:00,Mojos,3,315
2024-01-21,11:05:00,Coffee Jelly Frappuccino,4,680
2024-01-21,17:52:00,Matcha Frappuccino,3,480
2024-01-21,18:27:00,Strawberries & Cream,1,160
2024-01-21,05:41:00,Cookies & Cream Frappe,4,680
2024-01-21,19:24:00,Hazelnut Mocha Macchiato,2,320
2024-01-21,07:14:00,White Chocolate Chip Frappe,3,510
2024-01-22,11:09:00,Bap's Platter (for sharing),1,290
2024-01-22,04:45:00,Mojos,4,420
2024-01-22,00:17:00,Chocolate Frappe,1,160
2024-01-22,23:14:00,Matcha,3,450
2024-01-22,08:21:00,Cappuccino,4,580
2024-01-22,15:46:00,Sausage,3,315
2024-01-22,21:27:00,Salted Caramel Latte,1,160
2024-01-22,13:19:00,Latte,2,290
2024-01-22,02:41:00,Biscoff Latte,4,640
2024-01-22,01:26:00,Nachos (for sharing),3,585
2024-01-22,20:01:00,Savory Bites,3,315
2024-01-22,17:11:00,Mojos,1,105
2024-01-22,07:22:00,Latte,3,435
2024-01-22,17:57:00,Mocha,1,160
2024-01-22,17:54:00,Latte,1,145
2024-01-22,16:46:00,Savory Bites,4,420
2024-01-22,01:35:00,Chicken or Beef Quesadilla Half,4,440
2024-01-22,21:51:00,Matcha,4,600
2024-01-22,07:31:00,Biscoff Cream,4,680
2024-01-22,15:09:00,Matcha Frappuccino,3,480
2024-01-22,00:06:00,Matcha Frappe,2,320
2024-01-22,02:30:00,Hazelnut Mocha Macchiato,1,160
2024-01-22,23:24:00,Chocolate Frappe,3,480
2024-01-22,11:39:00,Mojos,2,210
2024-01-22,13:34:00,Cappuccino,1,145
2024-01-22,12:25:00,Cookies & Cream Frappe,3,510
2024-01-22,11:46:00,Cappuccino,3,435
2024-01-22,04:20:00,White Hot Chocolate,1,150
2024-01-23,15:04:00,Sausage,2,210
2024-01-23,14:13:00,Chicken or Beef Quesadilla Whole,4,800
2024-01-23,09:52:00,Biscoff (Coffee or None),2,340
2024-01-23,10:31:00,Sausage,3,315
2024-01-23,02:07:00,White Chocolate Chip Frappe,4,680
2024-01-23,18:58:00,Strawberries & Cream,1,160
2024-01-23,08:40:00,Matcha,4,600
2024-01-23,03:56:00,Cappuccino,1,145
2024-01-23,21:41:00,Bap's Coffee Signature,3,480
2024-01-23,11:05:00,Salted Caramel Latte,2,320
2024-01-23,18:52:00,Mojos,2,210
2024-01-23,13:24:00,White Chocolate Chip Frappe,3,510
2024-01-23,19:29:00,White Chocolate Mocha,4,640
2024-01-23,00:41:00,Matcha Frappuccino,4,640
2024-01-23,17:20:00,Chicken or Beef Quesadilla Half,1,110
2024-01-24,05:41:00,White Hot Chocolate,1,150
2024-01-24,21:50:00,Creamy Chicken Pesto,2,340
2024-01-24,02:47:00,Creamy Chicken Pesto,2,340
2024-01-24,13:40:00,White Hot Chocolate,3,450
2024-01-24,23:44:00,Biscoff Latte,2,320
2024-01-24,11:41:00,Matcha Frappuccino,2,320
2024-01-24,16:59:00,Cappuccino,2,290
2024-01-24,13:38:00,Americano,1,110
2024-01-24,00:28:00,Lasagna,1,170
2024-01-24,21:59:00,Spanish Latte,3,480
2024-01-24,22:13:00,Chicken or Beef Quesadilla Whole,2,400
2024-01-24,12:37:00,Biscoff (Coffee or None),2,340
2024-01-24,22:15:00,Caramel Macchiato,1,160
2024-01-24,21:07:00,Cookies & Cream Frappe,3,510
2024-01-24,15:57:00,Strawberries & Cream,3,480
2024-01-25,03:20:00,Chicken or Beef Quesadilla Half,2,220
2024-01-25,01:12:00,Cappuccino,1,145
2024-01-25,20:40:00,Strawberries & Cream,1,160
2024-01-25,17:42:00,Peach Mango Frappe,3,480
2024-01-25,20:52:00,Latte,4,580
2024-01-25,01:41:00,Sausage,2,210
2024-01-25,04:34:00,White Hot Chocolate,1,150
2024-01-25,05:29:00,Strawberries & Cream,1,160
2024-01-25,22:21:00,White Hot Chocolate,4,600
2024-01-25,05:38:00,Biscoff (Coffee or None),4,680
2024-01-25,11:00:00,Choose Any Two,1,190
2024-01-25,06:13:00,White Chocolate Chip Frappe,4,680
2024-01-25,20:23:00,White Chocolate Mocha,1,160
2024-01-25,18:32:00,Matcha Frappe,4,640
2024-01-25,08:08:00,Black Tea Strawberry Peach,1,140
2024-01-25,00:46:00,Lasagna,4,680
2024-01-25,17:19:00,Biscoff Latte,3,480
2024-01-25,16:20:00,Strawberries & Cream,2,320
2024-01-25,05:34:00,Hazelnut Mocha Macchiato,1,160
2024-01-25,02:16:00,Hazelnut Mocha Macchiato,3,480
2024-01-25,13:46:00,Mocha,3,480
2024-01-25,09:53:00,Mojos,3,315
2024-01-26,06:41:00,Chicken or Beef Quesadilla Whole,3,600
2024-01-26,19:42:00,Strawberries & Cream,4,640
2024-01-26,10:19:00,Chicken or Beef Quesadilla Whole,4,800
2024-01-26,02:10:00,Chicken or Beef Quesadilla Half,1,110
2024-01-26,03:02:00,Lasagna,3,510
2024-01-26,08:16:00,Black Tea Strawberry Peach,4,560
2024-01-26,16:21:00,Mojos,1,105
2024-01-26,12:01:00,Classic Chocolate,1,150
2024-01-26,08:12:00,Biscoff Cream,2,340
2024-01-26,05:10:00,Cappuccino,3,435
2024-01-26,06:53:00,Chicken or Beef Quesadilla Half,3,330
2024-01-26,19:24:00,Classic Chocolate,2,300
2024-01-26,17:42:00,Bap's Platter (for sharing),2,580
2024-01-26,15:57:00,Mojos,1,105
2024-01-26,05:17:00,Mojos,1,105
2024-01-26,21:02:00,Biscoff Cream,1,170
2024-01-26,15:25:00,Biscoff Latte,1,160
2024-01-26,06:28:00,Cookies & Cream Frappe,1,170
2024-01-26,00:02:00,Sausage,1,105
2024-01-26,06:15:00,Matcha,2,300
2024-01-26,02:25:00,Salted Caramel Latte,2,320
2024-01-26,07:11:00,Peach Mango Frappe,1,160
2024-01-26,09:44:00,Black Tea Strawberry Peach,3,420
2024-01-26,16:03:00,Biscoff (Coffee or None),4,680
2024-01-26,13:26:00,White Chocolate Mocha,4,640
2024-01-26,00:10:00,Biscoff (Coffee or None),2,340
2024-01-26,03:45:00,Classic Chocolate,1,150
2024-01-26,09:23:00,Hazelnut Mocha Macchiato,4,640
2024-01-26,22:13:00,Mocha,1,160
2024-01-27,18:50:00,Biscoff Latte,2,320
2024-01-27,15:36:00,Lasagna,1,170
2024-01-27,00:53:00,Latte,3,435
2024-01-27,11:28:00,White Chocolate Chip Frappe,1,170
2024-01-27,17:23:00,Chicken or Beef Quesadilla Whole,2,400
2024-01-27,11:29:00,Chicken or Beef Quesadilla Whole,2,400
2024-01-27,03:35:00,Strawberries & Cream,3,480
2024-01-27,13:00:00,Bap's Platter (for sharing),4,1160
2024-01-27,05:28:00,Peach Mango Frappe,4,640
2024-01-27,23:00:00,Matcha,2,300
2024-01-27,15:51:00,Spanish Latte,3,480
2024-01-27,20:18:00,Savory Bites,1,105
2024-01-27,22:35:00,Chicken or Beef Quesadilla Half,2,220
2024-01-27,00:39:00,Bap's Coffee Signature,1,160
2024-01-27,23:38:00,Caramel Macchiato,3,480
